Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl_prop[1]	bl_prop[2]	bl_prop[3]	bl_prop[4]	bl_prop[5]	bl_prop[6]	bl_prop[7]	bl_prop[8]	bl_prop[9]	bl_prop[10]	bl_prop[11]	bl_prop[12]	bl_prop[13]	bl_prop[14]	bl_prop[15]	bl_prop[16]	bl_prop[17]	bl_prop[18]	bl_prop[19]	bl_prop[20]	bl_prop[21]	bl_prop[22]	bl_prop[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	rate_mult[1]	rate_mult[2]	rate_mult[3]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	tl
100	-2425.71	-2457.55	31.8434	0.07661161	0.202987	0.326088	0.315043	0.155881	0.00246612	0.00237197	0.00487849	0.00131885	0.0103403	1.0947e-05	0.00264221	0.000572806	0.00118114	0.000170208	0.000760801	0.00317901	0.00172392	0.00180678	0.00184412	0.000297984	0.000607665	0.00460345	0.00290889	0.00113346	0.00159635	0.00774659	0.00126184	0.0444956	0.0427968	0.0880214	0.0237957	0.186568	0.000197515	0.0476728	0.010335	0.021311	0.00307102	0.0137269	0.0573582	0.0311043	0.0325993	0.0332731	0.00537644	0.010964	0.0830589	0.0524843	0.0204507	0.0288026	0.13977	0.0227671	0.08297	0.329278	0.065926	0.114318	0.351414	0.0560929	1	0.433497	1.75574	7.67455e-09	0.000130428	0.0390356	3.96083	0.05542393
110	-2421.05	-2449.6	28.5485	0.2897377	0.181339	0.348904	0.314262	0.155495	0.00170608	0.00488842	0.00431415	0.00843473	0.00544254	3.42861e-05	0.0015545	0.00127679	0.00203446	0.000295444	0.0020735	0.00774557	0.00310309	0.00585271	0.00019969	0.000156664	0.00183756	0.00280385	0.000830604	0.00217563	0.000410921	0.00360237	0.00333568	0.026612	0.0762515	0.0672938	0.131568	0.0848948	0.000534808	0.0242476	0.0199159	0.0317343	0.00460844	0.0323433	0.120818	0.0484031	0.0912928	0.00311484	0.00244371	0.0286629	0.0437354	0.0129561	0.0339363	0.00640969	0.0561912	0.0520312	0.063681	0.259244	0.0744016	0.112924	0.380372	0.109378	1	0.420467	2.27424	0.00449985	0.0965392	0.578159	3.3208	0.06410925
120	-2418.86	-2449.79	30.9329	0.06232226	0.181111	0.356739	0.32096	0.141191	0.00413825	0.00392598	0.0036502	0.00851643	0.00297551	2.26353e-05	0.00118109	0.0010054	0.00145545	0.000170461	0.000469537	0.0044658	0.00349134	0.00336845	0.000155939	0.00233861	0.00196188	0.00396104	0.00126611	0.00179087	0.0033486	0.00625138	0.000748176	0.0682214	0.064722	0.0601756	0.140398	0.0490529	0.000373155	0.019471	0.0165746	0.0239939	0.00281015	0.00774058	0.0736213	0.0575567	0.0555308	0.00257075	0.0385533	0.0323428	0.0652999	0.0208725	0.0295235	0.0552035	0.103058	0.0123341	0.135266	0.433593	0.0647385	0.0747447	0.23875	0.0529084	1	0.460675	2.2994	1.21406e-10	1.64243e-05	0.0165149	3.98347	0.06065914
130	-2413.89	-2446.55	32.6624	0.02149578	0.18399	0.344211	0.326062	0.145737	0.00284115	0.00621388	0.00591534	0.00544231	0.009609	0.00100098	0.00163593	0.00436437	0.00101773	0.000316691	0.0024649	0.00606672	0.00239063	0.00426748	0.0003659	0.00134538	0.00161062	0.00286447	0.000847376	0.0015309	0.00316228	0.00713826	0.00196388	0.0381998	0.0835466	0.0795327	0.0731728	0.129195	0.0134584	0.0219953	0.0586796	0.0136836	0.00425796	0.033141	0.081568	0.0321424	0.057377	0.00491959	0.0180889	0.0216551	0.0385132	0.0113931	0.0205832	0.0425174	0.0959751	0.0264047	0.0680567	0.372874	0.062846	0.0760701	0.355092	0.0650621	1	0.46875	1.69114	5.48766e-29	1.10806e-14	2.58557e-06	4	0.0743762
140	-2421.92	-2455.14	33.2213	0.001538012	0.189682	0.327233	0.319141	0.163944	0.00198222	0.00520481	0.00720819	0.00329892	0.014336	0.00311452	0.00363112	0.000357145	0.00108637	0.000579205	0.002287	0.00643811	0.00263571	0.00675158	0.000867801	0.00165677	0.00464043	0.00225886	0.000448668	0.00414777	0.00190992	0.00802089	0.00137541	0.0235313	0.0617874	0.08557	0.0391622	0.170185	0.0369731	0.0431058	0.00423975	0.0128965	0.00687586	0.0271495	0.0764282	0.0312891	0.0801494	0.0103019	0.0196679	0.0550875	0.0268154	0.00532623	0.0492391	0.0226731	0.0952177	0.0163278	0.0839398	0.414489	0.0888809	0.0327851	0.30108	0.0788256	1	0.61013	1.64607	0	2.10644e-196	9.82672e-82	4	0.08423736
150	-2418.09	-2450.99	32.9054	0.003911706	0.18686	0.322365	0.329271	0.161505	0.00301609	0.0115691	0.00845291	0.00325304	0.00752963	0.00240866	0.00318917	0.0031772	0.00106061	0.00169776	0.000233458	0.0069376	0.00715708	0.00370421	0.00076941	0.00234162	0.000615081	0.00216366	0.00231959	0.000530476	0.00123938	0.00427033	0.000914659	0.0383968	0.147282	0.107611	0.0414133	0.095857	0.0306638	0.0406002	0.0404477	0.0135022	0.0216135	0.00297207	0.08832	0.0911141	0.0471569	0.00979507	0.0298102	0.00783038	0.0275448	0.0295298	0.00675329	0.0157781	0.054364	0.0116442	0.0708786	0.37834	0.0498258	0.0633612	0.367094	0.0705002	1	0.38544	1.4805	6.86489e-155	1.24124e-77	1.9339e-32	4	0.07855069
160	-2413.22	-2446.11	32.8951	0.006582537	0.183951	0.348184	0.29805	0.169815	0.003221	0.00966398	0.00484864	0.00197777	0.0101272	0.00152722	0.00380766	0.000148281	0.00250181	0.000315253	0.000625632	0.00552192	0.00642806	0.00667369	0.000364809	0.000142023	0.000168376	0.000855902	0.000186446	0.000648445	0.00148601	0.00710227	0.00078151	0.0465975	0.139807	0.0701441	0.028612	0.146508	0.022094	0.0550846	0.00214515	0.0361931	0.00456069	0.00905088	0.0798843	0.0929932	0.0965467	0.0052776	0.00205462	0.00243586	0.0123821	0.00269727	0.0093809	0.0214977	0.102747	0.0113059	0.0852519	0.408766	0.0464848	0.073512	0.303635	0.0823496	1	0.676661	1.78917	1.93017e-92	2.08082e-46	1.76036e-19	4	0.06912395
170	-2410.61	-2442.89	32.2822	0.003171718	0.185354	0.334661	0.321665	0.15832	0.00105197	0.00643456	0.00395043	0.0130277	0.00988073	0.00102992	0.00165265	7.87116e-05	0.00187472	0.00206697	8.01563e-05	0.0062904	0.00142675	0.00357089	0.00100783	0.000418637	0.000605621	0.00383216	0.000579922	0.00205926	0.00281337	0.00778503	0.00099119	0.014508	0.0887408	0.0544815	0.179669	0.136268	0.0142039	0.0227922	0.00108553	0.0258548	0.0285061	0.00110546	0.0867528	0.0196767	0.0492472	0.0138992	0.00577355	0.00835229	0.0528504	0.00799787	0.0283998	0.0387999	0.107366	0.0136698	0.111254	0.340376	0.0383682	0.0845379	0.334542	0.0909224	1	0.519188	2.01815	8.46584e-191	1.37849e-95	6.83432e-40	4	0.07250957
180	-2420.23	-2451.15	30.9126	0.05173523	0.156189	0.354716	0.330974	0.158121	0.00103113	0.00504594	0.00279266	0.00228743	0.00547133	0.00291758	0.00124356	3.8053e-05	0.000571532	0.000199609	3.80929e-05	0.00227144	0.00227482	0.0056384	0.000996186	0.000816525	0.00239958	0.00357343	0.000361634	0.00329524	0.00439026	0.00340893	0.000827336	0.0198711	0.0972418	0.0538181	0.0440817	0.10544	0.0562255	0.023965	0.000733331	0.0110142	0.00384673	0.000734099	0.0437735	0.0438387	0.108659	0.0191978	0.0157355	0.0462429	0.0688647	0.00696915	0.0635035	0.0846059	0.0656944	0.0159438	0.131845	0.251783	0.0618336	0.0596489	0.433203	0.0616868	1	0.727609	2.51093	1.28266e-12	1.68969e-06	0.00642631	3.99357	0.05189069
190	-2414.31	-2445.26	30.9513	0.1049086	0.180612	0.333384	0.333346	0.152658	0.00155431	0.00415144	0.000948683	0.0122834	0.00937445	0.00297453	0.00129613	0.00288507	0.0012055	0.000280061	7.04645e-05	0.00520697	0.00150605	0.00371213	0.000487609	0.000298145	0.00118477	0.00392526	0.00117874	0.00344302	0.00588392	0.00408691	0.00131848	0.022443	0.0599433	0.0136982	0.177362	0.135359	0.0429497	0.0187151	0.0416581	0.0174064	0.00404385	0.00101745	0.0751843	0.0217462	0.0536001	0.00704066	0.00430496	0.0171072	0.0566775	0.01702	0.0497144	0.0849589	0.0590116	0.0190377	0.12983	0.373347	0.0534786	0.102226	0.302765	0.038354	1	0.64934	2.23695	1.00641e-06	0.00148981	0.107188	3.89132	0.06925608
